# Data source (extracted from Figure): econstor, "Stromverbrauch privater Haushalte in Deutschland: Eine ökonometrische Analyse", https://www.econstor.eu/handle/10419/116776
1 Occupant,1 Occupant,2 Occupants,2 Occupants,3 Occupants,3 Occupants,4+ Occupants,4+ Occupants
X,Y,X,Y,X,Y,X,Y
9360,4.18E-07,9360,8.42E-06,9360,2.33E-05,9360,2.71E-05
9390,4.32E-07,9390,8.53E-06,9390,2.32E-05,9390,2.59E-05
9420,5.61E-07,9420,8.52E-06,9420,2.31E-05,9420,2.50E-05
9450,6.00E-07,9450,8.54E-06,9450,2.29E-05,9450,2.44E-05
9480,5.99E-07,9480,8.46E-06,9480,2.27E-05,9480,2.42E-05
9510,5.51E-07,9510,8.24E-06,9510,2.25E-05,9510,2.42E-05
9540,3.68E-07,9540,8.13E-06,9540,2.24E-05,9540,2.42E-05
9570,1.59E-07,9570,8.11E-06,9570,2.22E-05,9570,2.42E-05
9600,2.38E-08,9600,8.00E-06,9600,2.19E-05,9600,2.41E-05
9630,1.28E-07,9630,7.80E-06,9630,2.14E-05,9630,2.37E-05
9660,2.57E-07,9660,7.72E-06,9660,2.07E-05,9660,2.29E-05
9690,3.71E-07,9690,7.74E-06,9690,1.99E-05,9690,2.34E-05
9720,3.85E-07,9720,7.63E-06,9720,1.91E-05,9720,2.27E-05
9750,3.99E-07,9750,7.32E-06,9750,1.84E-05,9750,2.26E-05
9780,3.96E-07,9780,7.01E-06,9780,1.77E-05,9780,2.16E-05
9810,3.97E-07,9810,6.93E-06,9810,1.69E-05,9810,2.12E-05
9840,3.96E-07,9840,6.94E-06,9840,1.65E-05,9840,2.15E-05
9870,3.96E-07,9870,6.94E-06,9870,1.56E-05,9870,2.23E-05
9900,4.02E-07,9900,6.94E-06,9900,1.49E-05,9900,2.24E-05
9930,4.70E-07,9930,6.87E-06,9930,1.41E-05,9930,2.24E-05
9960,5.73E-07,9960,6.64E-06,9960,1.32E-05,9960,2.26E-05
9990,6.00E-07,9990,6.55E-06,9990,1.24E-05,9990,2.26E-05
10020,5.92E-07,10020,6.66E-06,10020,1.13E-05,10020,2.25E-05
